Copyright 1986-2016 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2016.2 (lin64) Build 1577090 Thu Jun  2 16:32:35 MDT 2016
| Date         : Wed Nov 18 20:36:47 2020
| Host         : umma running 64-bit Ubuntu 18.04.4 LTS
| Command      : report_utilization -hierarchical -file ./Impl/TopDown/top-post-place-util.txt
| Design       : mkPcieTop
| Device       : 7vx485tffg1761-2
| Design State : Fully Placed
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
|                                       Instance                                      |                     Module                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP48 Blocks |
+-------------------------------------------------------------------------------------+-----------------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
| mkPcieTop                                                                           |                                         (top) |     160108 |     145348 |   14696 |   64 | 73106 |    775 |     13 |            0 |
|   (mkPcieTop)                                                                       |                                         (top) |        110 |        110 |       0 |    0 |   427 |      0 |      0 |            0 |
|   GetPutWithClocks_inst_mkConnectionWithClocks_synchronizer                         |                                      SyncFIFO |         17 |         13 |       4 |    0 |    42 |      0 |      0 |            0 |
|   host_pcieHostTop_ep7                                                              |                              mkPcieEndpointX7 |       3539 |       3479 |       0 |   60 |  4326 |      4 |      0 |            0 |
|     (host_pcieHostTop_ep7)                                                          |                              mkPcieEndpointX7 |          2 |          2 |       0 |    0 |     0 |      0 |      0 |            0 |
|     derivedReset                                                                    |                                     SyncReset |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|     fAxiRx                                                                          |                         FIFO2__parameterized0 |        159 |        159 |       0 |    0 |   308 |      0 |      0 |            0 |
|     fAxiTx                                                                          |                         FIFO2__parameterized1 |        206 |        206 |       0 |    0 |   266 |      0 |      0 |            0 |
|     pcie_ep                                                                         |                                    pcie2_7x_0 |       3088 |       3028 |       0 |   60 |  3739 |      4 |      0 |            0 |
|       (pcie_ep)                                                                     |                                    pcie2_7x_0 |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|       inst                                                                          |                pcie2_7x_0pcie2_7x_0_pcie2_top |       3088 |       3028 |       0 |   60 |  3739 |      4 |      0 |            0 |
|         (inst)                                                                      |                pcie2_7x_0pcie2_7x_0_pcie2_top |          0 |          0 |       0 |    0 |     0 |      0 |      0 |            0 |
|         inst                                                                        |                 pcie2_7x_0pcie2_7x_0_core_top |       3088 |       3028 |       0 |   60 |  3739 |      4 |      0 |            0 |
|           (inst)                                                                    |                 pcie2_7x_0pcie2_7x_0_core_top |          8 |          4 |       0 |    4 |    11 |      0 |      0 |            0 |
